Ti S_Ti j F(Ti,S_Ti,j) 
0.910891 114.192116 51 0.000000
0.920792 128.676682 29 29.292286
0.930693 109.513809 87 0.000000
0.940594 99.125351 74 0.000000
0.950495 86.526260 96 0.000000
0.960396 118.503731 44 0.000000
0.970297 83.438210 98 0.000000
0.980198 95.671211 60 0.000000
0.990099 94.706902 100 0.000000
0.009901 101.379738 1 8.390440
0.019802 100.963951 2 8.712544
0.029703 98.418846 3 6.792757
0.039604 102.324028 4 9.856005
0.049505 99.882614 5 7.764604
0.059406 91.571823 6 2.269164
0.069307 111.021477 6 9.538049
0.079208 116.859100 4 4.535656
0.089109 106.255157 9 13.084669
0.099010 102.175743 10 8.506383
0.108911 99.941391 11 5.985808
0.118812 95.375237 12 2.691497
0.128713 95.219284 13 2.290723
0.138614 101.857162 14 7.016537
0.148515 93.807663 15 1.928325
0.158416 109.632759 16 15.566445
0.168317 106.453857 17 11.332860
0.178218 104.795929 17 9.227865
0.188119 108.005730 19 12.809114
0.198020 102.261002 20 5.801980
0.207921 100.062309 21 3.854221
0.217822 108.401985 22 12.010543
0.227723 101.646973 23 4.817493
0.237624 104.759903 21 8.094656
0.247525 119.742203 14 26.769314
0.257426 90.647003 26 0.305043
0.267327 79.165962 27 0.000000
0.277228 95.802757 28 0.789523
0.287129 131.045151 9 2.109704
0.297030 93.776199 30 0.441967
0.306931 121.747635 18 28.730598
0.316832 94.630852 32 0.254494
0.326733 106.037056 30 6.057971
0.336634 101.167717 20 4.879359
0.346535 104.076012 35 2.321658
0.356436 110.351776 24 13.701708
0.366337 117.910828 31 21.577547
0.376238 94.578934 34 0.003415
0.386139 110.261971 22 13.860518
0.396040 89.641083 40 0.000000
0.405941 97.630997 41 0.000000
0.415842 83.995789 42 0.000000
0.425743 81.972946 43 0.000000
0.435644 95.414162 40 0.000000
0.445545 145.351868 4 0.061783
0.455446 124.147163 18 29.254843
0.465347 110.307060 12 15.035520
0.475248 108.620361 37 5.269554
0.485149 92.985214 49 0.000000
0.495050 115.153946 8 6.300135
0.504951 121.848541 22 26.405567
0.514852 120.064651 36 22.025568
0.524752 95.186981 53 0.000000
0.534653 84.229385 54 0.000000
0.544554 88.532722 49 0.000000
0.554455 145.712860 20 50.311024
0.564356 106.944496 43 0.000000
0.574257 99.008057 58 0.000000
0.584158 145.792908 16 50.117573
0.594059 100.350563 47 0.000000
0.603960 125.112495 20 29.083807
0.613861 99.240891 62 0.000000
0.623762 134.318192 34 38.216759
0.633663 103.124512 54 0.000000
0.643564 120.436211 33 22.886007
0.653465 123.925117 24 27.340149
0.663366 98.148399 67 0.000000
0.673267 95.141396 68 0.000000
0.683168 83.370705 69 0.000000
0.693069 96.541466 70 0.000000
0.702970 107.127602 69 0.000000
0.712871 111.493439 59 0.000000
0.722772 133.378021 21 36.039043
0.732673 99.485542 74 0.000000
0.742574 103.576721 75 0.000000
0.752475 117.774391 53 0.000000
0.762376 112.984467 65 0.000000
0.772277 118.603287 11 20.667126
0.782178 115.898613 20 17.945961
0.792079 105.411812 76 0.000000
0.801980 114.892372 44 0.000000
0.811881 93.946892 80 0.000000
0.821782 89.441277 83 0.000000
0.831683 87.243996 84 0.000000
0.841584 68.182358 78 0.000000
0.851485 125.365875 47 0.000000
0.861386 103.925453 87 0.000000
0.871287 79.235710 88 0.000000
0.881188 104.994896 82 0.000000
0.891089 120.696060 27 21.839483
0.900990 111.452370 90 0.000000
0.910891 91.733200 62 0.000000
0.920792 98.989098 91 0.000000
0.930693 146.357864 17 46.738132
0.940594 117.676872 79 0.000000
0.950495 70.585403 96 0.000000
0.960396 103.834267 97 0.000000
0.970297 144.694138 44 0.000000
0.980198 130.523575 35 30.378601
0.990099 80.397728 95 0.000000
0.009901 100.611343 1 8.100000
0.019802 106.072647 2 9.292839
0.029703 99.465164 3 7.762048
0.039604 98.628120 4 6.801368
0.049505 97.599503 5 5.740283
0.059406 100.038101 6 7.412350
0.069307 100.775757 7 8.026746
0.079208 105.462616 8 12.204306
0.089109 94.373215 9 2.721313
0.099010 97.817413 10 4.598539
0.108911 105.042770 11 11.350695
0.118812 109.331314 12 16.270912
0.128713 90.695114 13 1.442264
0.138614 94.977974 14 2.413870
0.148515 108.721169 15 14.858310
0.158416 102.538994 16 7.357582
0.168317 98.382217 17 3.745762
